@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
2518,'2017/04/09 16:41:53:521',22,0.653748,0.050659,-0.0979,-0.748657,-1.430049,0.052175,0.214761,1,-1
2519,'2017/04/09 16:41:53:543',22,0.653809,0.050354,-0.098022,-0.748596,-1.430141,0.052811,0.214541,1,-1
2520,'2017/04/09 16:41:53:559',22,0.653992,0.049866,-0.098267,-0.748413,-1.430513,0.053917,0.214256,1,-1
2521,'2017/04/09 16:41:53:581',22,0.653992,0.0495,-0.098389,-0.748474,-1.430444,0.05462,0.213973,1,-1
2522,'2017/04/09 16:41:53:604',22,0.653809,0.049194,-0.098328,-0.748657,-1.429895,0.054943,0.213492,1,-1
2523,'2017/04/09 16:41:53:619',22,0.653992,0.048889,-0.09845,-0.748474,-1.430309,0.055615,0.21326,1,-1
2524,'2017/04/09 16:41:53:641',22,0.654297,0.048889,-0.098145,-0.748291,-1.431127,0.055293,0.212782,1,-1
2525,'2017/04/09 16:41:53:664',22,0.654297,0.04895,-0.098083,-0.74823,-1.431129,0.055127,0.212756,1,-1
2526,'2017/04/09 16:41:53:679',22,0.654297,0.049011,-0.098083,-0.74823,-1.431142,0.055036,0.212837,1,-1
2527,'2017/04/09 16:41:53:701',22,0.65448,0.049133,-0.098267,-0.748047,-1.431652,0.055147,0.213264,1,-1
2528,'2017/04/09 16:41:53:723',22,0.65448,0.049561,-0.098328,-0.748047,-1.431748,0.054587,0.213924,1,-1
2529,'2017/04/09 16:41:53:739',22,0.654358,0.049744,-0.09845,-0.748108,-1.43146,0.054442,0.214355,1,-1
2530,'2017/04/09 16:41:53:761',22,0.654663,0.049744,-0.098694,-0.747803,-1.432263,0.054853,0.214704,1,-1
2531,'2017/04/09 16:41:53:783',22,0.654785,0.049683,-0.098816,-0.747681,-1.432571,0.055141,0.2148,1,-1
2532,'2017/04/09 16:41:53:799',22,0.654785,0.0495,-0.098755,-0.747681,-1.43253,0.055335,0.214463,1,-1
2533,'2017/04/09 16:41:53:821',22,0.654907,0.049377,-0.098755,-0.74762,-1.432834,0.055548,0.214302,1,-1
2534,'2017/04/09 16:41:53:843',22,0.654968,0.049377,-0.098755,-0.747559,-1.432994,0.055566,0.214296,1,-1
2535,'2017/04/09 16:41:53:867',22,0.655151,0.049194,-0.098755,-0.747375,-1.433434,0.055895,0.214036,1,-1
2536,'2017/04/09 16:41:53:881',22,0.655457,0.049377,-0.098816,-0.747131,-1.434288,0.055785,0.214355,1,-1
2537,'2017/04/09 16:41:53:904',22,0.65564,0.049622,-0.098938,-0.746948,-1.434825,0.055635,0.21485,1,-1
2538,'2017/04/09 16:41:53:920',22,0.655762,0.049683,-0.099121,-0.746826,-1.435161,0.05582,0.215202,1,-1
2539,'2017/04/09 16:41:53:941',22,0.655762,0.049927,-0.099243,-0.746765,-1.435207,0.055621,0.215702,1,-1
2540,'2017/04/09 16:41:53:963',22,0.655762,0.049988,-0.099182,-0.746765,-1.43522,0.05545,0.215689,1,-1
2541,'2017/04/09 16:41:53:979',22,0.655945,0.05011,-0.099243,-0.746582,-1.43573,0.055402,0.215928,1,-1
2542,'2017/04/09 16:41:54:001',22,0.656189,0.050171,-0.099182,-0.746338,-1.436384,0.055304,0.215891,1,-1
2543,'2017/04/09 16:41:54:024',22,0.656006,0.050049,-0.099121,-0.746521,-1.435875,0.055351,0.215652,1,-1
2544,'2017/04/09 16:41:54:040',22,0.656189,0.049988,-0.099121,-0.746399,-1.436353,0.055491,0.215565,1,-1
2545,'2017/04/09 16:41:54:061',22,0.656494,0.049866,-0.099182,-0.746155,-1.43714,0.055839,0.21548,1,-1
2546,'2017/04/09 16:41:54:084',22,0.656494,0.049927,-0.099121,-0.746155,-1.437153,0.055667,0.215467,1,-1
2547,'2017/04/09 16:41:54:099',22,0.656616,0.049744,-0.099243,-0.746033,-1.437434,0.056138,0.215401,1,-1
2548,'2017/04/09 16:41:54:121',22,0.656677,0.049622,-0.099487,-0.745972,-1.437571,0.05666,0.21561,1,-1
2549,'2017/04/09 16:41:54:143',22,0.656616,0.049927,-0.099548,-0.745972,-1.437469,0.056272,0.216103,1,-1
